ルミカイト to アヌビス, maxgen = 2
Gen:T+00 アヌビス(570) = レヴィドラ(310) + ラブラドン(840)
Gen:T+00 アヌビス(570) = レヴィドラ(310) + シラヌイ(830)
Gen:T+00 アヌビス(570) = レヴィドラ(310) + アロアリュー(820)
Gen:T+00 アヌビス(570) = ルミカイト(870) + ペコドン(280)
Gen:T+00 アヌビス(570) = ルミカイト(870) + パリピドン(270)
Gen:T+00 アヌビス(570) = ルミカイト(870) + デスティング(260)
Gen:T+00 アヌビス(570) = リリクイン(250) + メルパカ(890)
Gen:T+00 アヌビス(570) = リリクイン(250) + トドドドン(895)
Gen:T+00 アヌビス(570) = リリクイン(250) + ツララジカ(880)
Gen:T+00 アヌビス(570) = リリクイン(250) + ツノガミ(900)
Gen:T+00 アヌビス(570) = ラベロット(990) + ボルゼクス(140)
Gen:T+00 アヌビス(570) = ラベロット(990) + ジオラーヴァ(150)
Gen:T+00 アヌビス(570) = ラブラドン(860) + ペコドン(280)
Gen:T+00 アヌビス(570) = ラブラドン(860) + ブリザモス(290)
Gen:T+00 アヌビス(570) = ラブラドン(860) + パリピドン(270)
Gen:T+00 アヌビス(570) = ラブラドン(840) + レヴィドラ(310)
Gen:T+00 アヌビス(570) = ラブラドン(840) + ブリザモス(290)
Gen:T+00 アヌビス(570) = ラブラドン(840) + グランモス(300)
Gen:T+00 アヌビス(570) = ラブマンダー(940) + リリクイン(210)
Gen:T+00 アヌビス(570) = ラブマンダー(940) + ヘルガルダ(190)
Gen:T+00 アヌビス(570) = ラブマンダー(940) + エレパンダ(200)
Gen:T+00 アヌビス(570) = ライコーン(680) + ヒエティ(460)
Gen:T+00 アヌビス(570) = ライコーン(680) + シルキーヌ(450)
Gen:T+00 アヌビス(570) = ライコーン(680) + アルパオー(470)
Gen:T+00 アヌビス(570) = ヤミトバリ(1010) + ボルゼクス(140)
Gen:T+00 アヌビス(570) = ヤミトバリ(1010) + ツンドラー(130)
Gen:T+00 アヌビス(570) = ヤミトバリ(1010) + グレイシャル(120)
