タマコッコ to アヌビス, maxgen = 3
Gen:T+00 アヌビス(570) = ルミカイト(870) + ペコドン(280)
Gen:T+00 アヌビス(570) = ルミカイト(870) + パリピドン(270)
Gen:T+00 アヌビス(570) = ルミカイト(870) + デスティング(260)
Gen:T+00 アヌビス(570) = ラベロット(990) + ボルゼクス(140)
Gen:T+00 アヌビス(570) = ラベロット(990) + ジオラーヴァ(150)
Gen:T+00 アヌビス(570) = ラブラドン(860) + ペコドン(280)
Gen:T+00 アヌビス(570) = ラブラドン(860) + ブリザモス(290)
Gen:T+00 アヌビス(570) = ラブラドン(860) + パリピドン(270)
Gen:T+00 アヌビス(570) = ラブラドン(840) + レヴィドラ(310)
Gen:T+00 アヌビス(570) = ラブラドン(840) + ブリザモス(290)
Gen:T+00 アヌビス(570) = ラブラドン(840) + グランモス(300)
Gen:T+00 アヌビス(570) = ラブマンダー(940) + リリクイン(210)
Gen:T+00 アヌビス(570) = ラブマンダー(940) + ヘルガルダ(190)
Gen:T+00 アヌビス(570) = ラブマンダー(940) + エレパンダ(200)
Gen:T+00 アヌビス(570) = ライコーン(680) + ヒエティ(460)
Gen:T+00 アヌビス(570) = ライコーン(680) + シルキーヌ(450)
Gen:T+00 アヌビス(570) = ライコーン(680) + アルパオー(470)
Gen:T+00 アヌビス(570) = ヤミトバリ(1010) + ボルゼクス(140)
Gen:T+00 アヌビス(570) = ヤミトバリ(1010) + ツンドラー(130)
Gen:T+00 アヌビス(570) = ヤミトバリ(1010) + グレイシャル(120)
Gen:T+00 アヌビス(570) = メルパカ(890) + リリクイン(250)
Gen:T+00 アヌビス(570) = メルパカ(890) + デスティング(260)
Gen:T+00 アヌビス(570) = メルパカ(890) + サラブレイズ(240)
Gen:T+00 アヌビス(570) = ムラクモ(980) + ジオラーヴァ(150)
Gen:T+00 アヌビス(570) = ミルカルビ(910) + ライバード(220)
Gen:T+00 アヌビス(570) = ミルカルビ(910) + ボルカノン(230)
Gen:T+00 アヌビス(570) = ミルカルビ(910) + サラブレイズ(240)
Gen:T+00 アヌビス(570) = ミステリア(1110) + シヴァ(30)
Gen:T+00 アヌビス(570) = マスクロウ(1080) + ベイントール(70)
Gen:T+00 アヌビス(570) = マスクロウ(1080) + ゼノグリフ(60)
Gen:T+00 アヌビス(570) = マスクロウ(1080) + スザク(50)
Gen:T+00 アヌビス(570) = ヘルゴート(590) + スナペント(550)
Gen:T+00 アヌビス(570) = ヘルゴート(590) + シルフィア(540)
Gen:T+00 アヌビス(570) = ヘルゴート(590) + シーペント(560)
Gen:T+00 アヌビス(570) = ベリゴート(930) + リリクイン(210)
Gen:T+00 アヌビス(570) = ベリゴート(930) + ライバード(220)
Gen:T+00 アヌビス(570) = ベリゴート(930) + エレパンダ(200)
Gen:T+00 アヌビス(570) = ブルフェルノ(790) + フェスキー(350)
Gen:T+00 アヌビス(570) = ブルフェルノ(790) + サラブレイズ(360)
Gen:T+00 アヌビス(570) = ブルフェルノ(790) + グラクレス(340)
Gen:T+00 アヌビス(570) = フラリーナ(780) + ホルス(370)
Gen:T+00 アヌビス(570) = フラリーナ(780) + フェスキー(350)
Gen:T+00 アヌビス(570) = フラリーナ(780) + サラブレイズ(360)
Gen:T+00 アヌビス(570) = フブキツネ(760) + ホルス(370)
Gen:T+00 アヌビス(570) = フブキツネ(760) + ササゾー(390)
Gen:T+00 アヌビス(570) = フブキツネ(760) + イグニクス(380)
Gen:T+00 アヌビス(570) = フェザーロ(1020) + ツンドラー(130)
Gen:T+00 アヌビス(570) = フェザーロ(1020) + グレイシャル(120)
Gen:T+00 アヌビス(570) = ビリビリリュー(810) + ボルカノン(320)
Gen:T+00 アヌビス(570) = ビリビリリュー(810) + グラクレス(340)
Gen:T+00 アヌビス(570) = ビリビリリュー(810) + クインビーナ(330)
Gen:T+00 アヌビス(570) = ビーナイト(1070) + ベイントール(70)
Gen:T+00 アヌビス(570) = ビーナイト(1070) + ゼノグリフ(60)
Gen:T+00 アヌビス(570) = ビーナイト(1070) + セイントール(80)
Gen:T+00 アヌビス(570) = ニャンバット(750) + ササゾー(390)
Gen:T+00 アヌビス(570) = ニャンバット(750) + イグニクス(380)
Gen:T+00 アヌビス(570) = ドリタス(850) + ペコドン(280)
Gen:T+00 アヌビス(570) = ドリタス(850) + ブリザモス(290)
Gen:T+00 アヌビス(570) = ドリタス(850) + グランモス(300)
Gen:T+00 アヌビス(570) = トドドドン(895) + リリクイン(250)
Gen:T+00 アヌビス(570) = トドドドン(895) + サラブレイズ(240)
Gen:T+00 アヌビス(570) = ツララジカ(880) + リリクイン(250)
Gen:T+00 アヌビス(570) = ツララジカ(880) + パリピドン(270)
Gen:T+00 アヌビス(570) = ツララジカ(880) + デスティング(260)
Gen:T+00 アヌビス(570) = ツノガミ(920) + リリクイン(210)
Gen:T+00 アヌビス(570) = ツノガミ(920) + ライバード(220)
Gen:T+00 アヌビス(570) = ツノガミ(920) + ボルカノン(230)
Gen:T+00 アヌビス(570) = ツノガミ(900) + リリクイン(250)
Gen:T+00 アヌビス(570) = ツノガミ(900) + ボルカノン(230)
Gen:T+00 アヌビス(570) = ツノガミ(900) + サラブレイズ(240)
Gen:T+00 アヌビス(570) = ツジギリ(640) + パピテフ(490)
Gen:T+00 アヌビス(570) = ツジギリ(640) + ニャンギマリ(510)
Gen:T+00 アヌビス(570) = ツジギリ(640) + アズレーン(500)
Gen:T+00 アヌビス(570) = ツキカゲ(950) + ヘルガルダ(190)
Gen:T+00 アヌビス(570) = ツキカゲ(950) + エレパンダ(200)
Gen:T+00 アヌビス(570) = ダリザード(1140) + ボルカイザー(10)
Gen:T+00 アヌビス(570) = ダリザード(1120) + ボルカイザー(10)
Gen:T+00 アヌビス(570) = ダリザード(1120) + シヴァ(30)
Gen:T+00 アヌビス(570) = シロカバネ(620) + ニャンギマリ(510)
Gen:T+00 アヌビス(570) = シロカバネ(620) + シルティア(530)
Gen:T+00 アヌビス(570) = シロカバネ(620) + キャプペン(520)
Gen:T+00 アヌビス(570) = シラヌイ(830) + レヴィドラ(310)
Gen:T+00 アヌビス(570) = シラヌイ(830) + ボルカノン(320)
Gen:T+00 アヌビス(570) = シラヌイ(830) + グランモス(300)
Gen:T+00 アヌビス(570) = シラヌイ(830) + アグニドラ(315)
Gen:T+00 アヌビス(570) = シャーマンダー(1100) + スザク(50)
Gen:T+00 アヌビス(570) = シャーマンダー(1100) + シヴァ(30)
Gen:T+00 アヌビス(570) = シャーキッド(1090) + ゼノグリフ(60)
Gen:T+00 アヌビス(570) = シャーキッド(1090) + スザク(50)
Gen:T+00 アヌビス(570) = シーペント(560) + アヌビス(570)
Gen:T+00 アヌビス(570) = サンドロ(1000) + ボルゼクス(140)
Gen:T+00 アヌビス(570) = サンドロ(1000) + ツンドラー(130)
Gen:T+00 アヌビス(570) = サンドロ(1000) + ジオラーヴァ(150)
Gen:T+00 アヌビス(570) = ゴリレイジ(1040) + ジェットラン(90)
Gen:T+00 アヌビス(570) = ゴリレイジ(1040) + グレイシャドウ(100)
Gen:T+00 アヌビス(570) = ゴクエンオ(710) + ホークウィン(420)
Gen:T+00 アヌビス(570) = ゴクエンオ(710) + ササゾー(430)
Gen:T+00 アヌビス(570) = ゴクエンオ(710) + アルパオー(440)
Gen:T+00 アヌビス(570) = ゴクエンオ(670) + ヒエティ(480)
Gen:T+00 アヌビス(570) = ゴクエンオ(670) + ヒエティ(460)
Gen:T+00 アヌビス(570) = ゴクエンオ(670) + アルパオー(470)
Gen:T+00 アヌビス(570) = クレメーオ(700) + シルキーヌ(450)
Gen:T+00 アヌビス(570) = クレメーオ(700) + ササゾー(430)
Gen:T+00 アヌビス(570) = クレメーオ(700) + アルパオー(440)
Gen:T+00 アヌビス(570) = カバネドリ(660) + ヒエティ(480)
Gen:T+00 アヌビス(570) = カバネドリ(660) + パピテフ(490)
Gen:T+00 アヌビス(570) = カバネドリ(660) + アルパオー(470)
Gen:T+00 アヌビス(570) = ガウルフ(1060) + ベイントール(70)
Gen:T+00 アヌビス(570) = ガウルフ(1060) + セイントール(80)
Gen:T+00 アヌビス(570) = ガウルフ(1060) + ジェットラン(90)
Gen:T+00 アヌビス(570) = オコチョ(800) + フェスキー(350)
Gen:T+00 アヌビス(570) = オコチョ(800) + グラクレス(340)
Gen:T+00 アヌビス(570) = オコチョ(800) + クインビーナ(330)
Gen:T+00 アヌビス(570) = エアムルグ(1030) + グレイシャル(120)
Gen:T+00 アヌビス(570) = エアムルグ(1030) + グレイシャドウ(100)
Gen:T+00 アヌビス(570) = ヴィオレッタ(1050) + セイントール(80)
Gen:T+00 アヌビス(570) = ヴィオレッタ(1050) + ジェットラン(90)
Gen:T+00 アヌビス(570) = ヴィオレッタ(1050) + グレイシャドウ(100)
Gen:T+00 アヌビス(570) = イノボウ(1130) + ボルカイザー(10)
Gen:T+00 アヌビス(570) = イヌズマ(740) + ドンモップ(410)
Gen:T+00 アヌビス(570) = イヌズマ(740) + ササゾー(390)
